ID,Original Text,Retweet,Sentiment Score,Sentiment Analysis,User
894364299984089088,"RT @ab_tully: Anti-social behavior is a trait of intelligence in a world full of conformists

~Nikola Tesla",True,Positive,0.4767,824809906473664514
894364290446225408,Bro I want the Tesla Model X,False,Neutral,0.0772,3306048500
894364262801559554,"""Tesla Code Secrets"" https://t.co/FvCjNfzelW",False,Neutral,0.0,824062992467693568
894364191053709313,"@BillNye What is stopping Free Energy from being a THING? It can't be money. We'd have some stuff if that was the case..
Was Tesla wrong?",False,Positive,0.264,75149147
894364133797363712,Sneak peak of the upcoming Tesla model L @JSRCarsYT https://t.co/tw09ZqWnFB,False,Neutral,0.0,816455637731340288
894364077824389120,RT @SmartRE_Info: Excited about Tesla's Model 3 starting delivery https://t.co/2KPu64tVQQ,True,Positive,0.34,797475016367599616
894363988410064896,Welp I think I've seen enough on Twitter for now,False,Neutral,0.0,724443734662729729
894363949952634881,@hammel11 Looks like I have a debate for my next vehicle... tesla or that monster,False,Positive,0.3612,154747781
894363929178255360,"Une Tesla Model S parcourt plus de 1 000 km avec une recharge

https://t.co/sQI4Z8HPKC",False,Neutral,0.0,97648513
894363893715226624,"Use my Tesla refer code and you get free Supercharging and $1,400 off model S or X https://t.co/k7AJu4APlv go go! #teslamodels #teslalife",False,Positive,0.5562,21936769
894363837213925377,"Top story: Elon Musk celebrates Tesla Model S record-setting mileage trip https://t.co/0blm6vN47b, see more https://t.co/xEcTcBnPub",False,Positive,0.6705,49964054
894363707433668608,Tesla and Fav skaters https://t.co/28gaqO0U7n,False,Positive,0.4588,53913
894363694301368320,"Top story: Elon Musk celebrates Tesla Model S record-setting mileage trip https://t.co/CJ8RnoWDju, see more https://t.co/6PNkGeZGFH",False,Positive,0.6705,14106837
894363646150750208,"RT @JonErlichman: Tesla's Valuation:

*August 2017: $57 billion 

*June 2010:   $1.3 billion
 (Tesla IPO) https://t.co/i6mcoWlOb5",True,Neutral,0.0,598367445
894363442135670784,RT @askarel: Ssh root access gained on a #tesla model X !!!! #hacktesla #sha2017 https://t.co/mou1pnIbYJ,True,Positive,0.5815,16800213
894363425266167808,Tesla Inc. $TSLA Receives Outperform Rating from Robert W. Baird https://t.co/h6Wn198gff,False,Neutral,0.0,2743641378
894363393544605700,Mechanical Resonance (1986) by Tesla [CD - Geffen 9 24120-2] https://t.co/RzQT9N9PhZ,False,Neutral,0.0,881834002360836096
